district,state,crop,year,season,rainfall_mm,temperature_avg_c,soil_type,irrigation_pct,fertilizer_kg_per_ha,msp_inr_per_quintal,yield_kg_per_ha
Meerut,Uttar Pradesh,Rice,2020,Kharif,994.8,28.7,Alluvial,78.9,75.0,1868,2321.8
Mysore,Karnataka,Sugarcane,2015,Kharif,914.1,26.6,Red,45.4,202.9,2100,40000.0
Jodhpur,Rajasthan,Rice,2020,Kharif,248.1,28.9,Alluvial,39.3,108.2,1868,1500.0
Nagaon,Assam,Sugarcane,2021,Kharif,1990.2,25.5,Alluvial,40.2,92.6,2900,40000.0
Karnal,Haryana,Rice,2021,Kharif,236.5,28.1,Desert,81.5,221.1,1940,1500.0
Meerut,Uttar Pradesh,Rice,2017,Kharif,1064.5,23.6,Alluvial,76.2,180.0,1550,2331.6
Indore,Madhya Pradesh,Rice,2011,Kharif,1111.2,28.4,Alluvial,43.2,192.6,1080,2383.9
Nagaon,Assam,Rice,2022,Kharif,2309.5,24.2,Laterite,49.1,201.8,2040,1500.0
Ahmedabad,Gujarat,Sugarcane,2022,Kharif,789.1,27.3,Black,50.0,51.4,3050,40000.0
Krishna,Andhra Pradesh,Sugarcane,2012,Kharif,1145.6,28.8,Red,52.9,265.8,1700,42104.2
Amritsar,Punjab,Rice,2016,Kharif,417.2,21.0,Alluvial,94.5,209.4,1470,1584.9
Ludhiana,Punjab,Sugarcane,2014,Kharif,666.8,26.0,Alluvial,90.1,242.7,1900,40000.0
Patna,Bihar,Sugarcane,2019,Zaid,754.8,26.5,Alluvial,67.4,168.8,2750,40000.0
Karnal,Haryana,Wheat,2014,Rabi,430.5,20.8,Alluvial,83.0,285.7,1400,2962.2
Thanjavur,Tamil Nadu,Wheat,2021,Rabi,1274.6,29.4,Alluvial,82.1,131.1,1975,1800.0
Jodhpur,Rajasthan,Sugarcane,2023,Kharif,527.5,24.1,Desert,35.5,265.2,3150,40000.0
Gorakhpur,Uttar Pradesh,Sugarcane,2018,Zaid,820.9,25.4,Alluvial,48.4,285.7,2750,40000.0
Jaipur,Rajasthan,Rice,2013,Kharif,438.6,27.8,Alluvial,36.2,224.1,1310,1771.5
Hisar,Haryana,Rice,2017,Kharif,513.3,23.8,Desert,60.3,58.3,1550,1500.0
Ludhiana,Punjab,Sugarcane,2023,Zaid,250.1,27.7,Alluvial,90.0,198.2,3150,40000.0
Jaipur,Rajasthan,Sugarcane,2010,Kharif,379.4,32.2,Alluvial,45.8,183.9,1450,40000.0
Ludhiana,Punjab,Rice,2021,Kharif,782.1,24.2,Alluvial,95.5,131.5,1940,2081.7
Cuttack,Odisha,Sugarcane,2012,Zaid,1081.3,28.2,Red,44.9,179.4,1700,40000.0
Bardhaman,West Bengal,Rice,2018,Kharif,1661.7,25.3,Laterite,46.4,215.0,1750,1623.0
Jodhpur,Rajasthan,Rice,2011,Kharif,550.1,28.5,Desert,23.5,137.3,1080,1500.0
Patiala,Punjab,Wheat,2017,Rabi,652.5,28.5,Alluvial,82.4,285.0,1625,2087.9
Coimbatore,Tamil Nadu,Wheat,2011,Rabi,136.2,28.0,Red,55.6,228.0,1120,1800.0
Mysore,Karnataka,Sugarcane,2012,Kharif,1233.8,24.1,Laterite,39.2,116.3,1700,40000.0
Lucknow,Uttar Pradesh,Wheat,2022,Rabi,1082.1,25.9,Alluvial,65.9,137.5,2015,1800.0
Kolhapur,Maharashtra,Rice,2014,Kharif,1198.4,23.9,Red,30.6,211.4,1360,1670.2
Warangal,Telangana,Wheat,2022,Rabi,1101.7,27.5,Red,40.4,282.1,2015,1800.0
Mysore,Karnataka,Sugarcane,2012,Zaid,955.2,28.9,Red,34.8,117.1,1700,40000.0
Coimbatore,Tamil Nadu,Rice,2019,Kharif,1052.0,29.5,Alluvial,52.4,203.8,1815,2437.0
Amritsar,Punjab,Sugarcane,2020,Zaid,592.9,25.4,Alluvial,94.1,225.6,2850,40000.0
Ahmedabad,Gujarat,Wheat,2016,Rabi,412.1,26.7,Black,47.0,51.3,1525,1800.0
