district,state,crop,year,season,rainfall_mm,temperature_avg_c,soil_type,irrigation_pct,fertilizer_kg_per_ha,msp_inr_per_quintal,yield_kg_per_ha,rainfall_yield_ratio,fertilizer_efficiency,msp_normalized
9,15,0,2014,0,0.7878400371582617,0.7697168266638376,0,-0.2971280613830666,-0.28048485289560965,-0.8560239687465079,2291.8,0.592638,14.7004,0.873698
28,12,0,2014,0,-0.6590499444346275,1.4973673670853107,0,1.0869730501034909,1.4992254660216346,-0.8560239687465079,2037.5,0.339514,7.1819,0.873698
27,3,2,2023,1,1.301098595200437,-0.4834591040620313,4,-0.3740225675767641,0.4464390801832647,0.5301666203300609,1800.0,0.885786,8.6497,0.863103
16,0,2,2017,1,-0.3721460062816654,0.4463165864765161,0,0.38393756490396946,0.24173061627024847,-0.37584030063501667,1800.0,0.45769,9.3071,0.859794
24,10,2,2020,1,-1.2391514774776442,-0.7664343142259384,0,1.976752336059135,-1.0603266201832913,0.1677638519440299,2321.1,0.182938,23.2342,0.876027
4,12,1,2017,0,1.0055137512032095,0.5271666465233475,4,1.0265559380941565,0.0969028594882504,1.300272503150377,48703.9,0.029958,266.1415,1.349216
10,7,2,2021,1,0.008511714989360479,0.04206628624236457,0,-0.8903142520201623,-0.19136007949130313,0.25836454404053766,1800.0,0.555081,11.0906,0.877896
29,13,0,2015,0,0.3744118963251352,0.8505668867106676,4,-0.12686165481130746,-0.7762414049570645,-0.7654232766500001,1958.0,0.596376,16.276,0.856802
13,11,1,2020,2,-1.5000126980978112,1.8207676072726322,2,-1.0825505175044063,-0.4044239909109734,1.8438766557294235,40000.0,0.007615,272.1088,1.296975
20,2,1,2013,2,-0.3586906022230543,-0.40260904401520126,0,-0.472886932682947,-1.6730594373378982,-0.05873787829723951,40000.0,0.020762,715.5635,1.214921
17,14,2,2017,1,0.2730623205933398,0.04206628624236457,0,0.9221991082598531,-0.07159866522926642,-0.37584030063501667,1800.0,0.622765,10.5325,0.859794
11,7,0,2023,0,0.6439540227895674,-0.36218401399178696,1,-0.7475101690890099,1.6203794548681136,0.63526342316201,2100.5,0.615037,7.1837,0.88666
6,14,1,2019,2,0.7654867046092791,-0.523884134085447,0,-0.8683443931076774,-0.8597958800236017,1.662675271536408,40000.0,0.033712,349.9563,1.295516
10,7,1,2019,2,0.7496440514434953,-1.0089844943664286,0,-0.06644454280197354,1.0967714111178137,1.662675271536408,40000.0,0.033529,156.9859,1.295516
7,0,1,2014,2,0.637660366052475,0.9718419767809133,4,0.08734446958542157,0.23894546710136366,0.12246350589577602,43390.4,0.02972,224.588,1.220607
28,12,0,2011,0,-0.034024723647538675,0.8505668867106676,4,1.1034504442878545,1.5410027035549034,-1.3633878444869514,1958.1,0.500281,6.8298,0.892096
24,10,0,2023,0,-1.0249501257704026,-2.221735395068883,0,1.196822344665916,-0.29301802415559036,0.63526342316201,1500.0,0.348767,9.6774,0.88666
19,14,0,2017,0,0.14914238966645538,-1.2919597045303344,0,1.114435373744097,0.06905136779940464,-0.5117413387797783,2331.6,0.456358,12.8818,0.820111
1,10,2,2022,1,-0.6421221780383106,-0.28133395394495553,0,1.6252345934593742,0.36427717970116963,0.3308450977177439,2282.7,0.306476,11.2893,0.846738
0,4,1,2020,2,-0.7679953127801549,1.8611926372960466,2,0.33450538235087823,1.39896009594179,1.8438766557294235,40000.0,0.016047,144.6655,1.296975
7,0,1,2020,2,-0.10889753655432535,0.5271666465233475,0,-0.28065066719870296,-1.5546905976603036,1.8438766557294235,40000.0,0.023639,621.118,1.296975
13,11,0,2010,0,-0.9060217157039704,-0.604734194132277,2,-2.1206263511193244,-0.24427791370011026,-1.5083489518413637,1500.0,0.385276,9.4637,0.845703
24,10,1,2017,0,-0.9982563402992873,-0.36218401399178696,0,1.2297771330346432,0.9143441405558735,1.300272503150377,40000.0,0.013395,165.4944,1.349216
8,5,1,2022,0,-1.0583716132708232,0.001641256218950277,0,0.19719376414784673,-0.7428196149304495,2.2062794241154546,40000.0,0.012702,325.9984,1.281663
24,10,1,2018,0,-0.8673916846969905,-2.181310365045469,0,1.0650031911910054,1.2109625270420812,1.662675271536408,40000.0,0.014902,152.0913,1.322374
0,4,1,2021,0,-0.9706944642437455,1.0122670068043291,2,0.32352045289463555,0.2835078538035171,1.9344773478259314,40000.0,0.013712,203.666,1.289062
5,9,2,2014,1,0.6914819822869192,1.1335420968745749,4,-0.2861431319268239,-0.16072343863357294,-0.7835434150693016,1800.0,0.729817,10.9422,0.899395
21,6,1,2015,2,0.40067163650403753,0.8909919167340834,4,-0.30811299083930926,-0.3473284329488397,0.48486627428180706,43086.9,0.027395,285.1549,1.276088
24,10,1,2019,2,-0.7788464450854863,-0.6451592241556927,0,1.7460688174780419,-1.1522365427564822,1.662675271536408,40000.0,0.015922,428.7245,1.295516
14,5,2,2018,1,-0.7439057990623191,0.12291634628919602,0,2.059139306980954,-0.5840661123040287,-0.1765187780226996,2158.8,0.302343,16.0984,0.834298
2,15,2,2013,1,1.6242453152532066,0.5675916765467618,0,0.27958073506966563,0.8530708588404131,-0.8741441071658094,1800.0,0.968462,7.5853,0.911191
6,14,0,2018,0,0.03911190809039484,-0.11963383385129547,0,-0.03898221916136724,0.20830882624363348,-0.14933857039374726,2670.6,0.379473,13.9822,0.841511
25,2,1,2017,2,0.5213362277393225,-0.5643091641088627,0,0.7409477722318517,0.8697817538537205,1.300272503150377,41342.2,0.029896,173.3426,1.349216
22,1,1,2021,0,3.068096979800603,-1.41323479460058,0,-1.3022491066292567,-0.16211601321801516,1.9344773478259314,40000.0,0.060236,243.309,1.289062
23,8,0,2017,0,0.016975598187518925,-0.7664343142259384,1,-0.3795150323048854,-1.1007112831321175,-0.5117413387797783,1783.1,0.562525,18.3825,0.820111
21,6,1,2012,0,-0.5739770671608295,0.4058915564531018,1,-0.6816005923515547,1.2221031237176196,-0.23993926249025505,41795.3,0.017497,158.4356,1.19958
19,14,2,2016,1,-0.10868051390821869,0.7292917966404233,0,0.7793950253286999,0.06765879321496243,-0.5570416848280322,1800.0,0.525097,9.9502,0.864562
8,5,1,2015,2,-1.524102211815647,-1.696210004764486,0,0.7793950253286999,1.7095042282724204,0.48486627428180706,40000.0,0.007337,133.8688,1.276088
23,8,0,2023,0,0.159342454033467,0.6080167065701776,1,-0.6431533392547057,-0.9893053163767346,0.63526342316201,1980.1,0.5397,18.8581,0.88666
10,7,2,2014,1,0.38548005127657353,-0.8472843742727685,0,-0.5662588330610082,1.6900081840902281,-0.7835434150693016,1800.0,0.651527,6.0525,0.899395
12,11,0,2013,0,-1.3708842236643677,0.1633413763126103,2,-0.5223191152360382,0.8516782842559706,-0.9466246608430156,1500.0,0.242572,6.3238,0.884193
19,14,0,2018,0,-0.039667312446311054,0.3250414964062718,0,0.960646361356702,-1.1090667306387714,-0.14933857039374726,2305.9,0.423729,23.9201,0.841511
27,3,2,2017,1,0.5031063254663656,-0.28133395394495553,3,-1.3352038949979845,-1.5129133601270348,-0.37584030063501667,1800.0,0.681621,26.7062,0.859794
20,2,1,2019,0,-0.18507248533775186,-0.8472843742727685,0,-0.5662588330610082,-0.38632052131322353,1.662675271536408,40000.0,0.022762,269.7235,1.295516
11,7,1,2021,0,1.6337943116818978,0.4463165864765161,0,-1.560394948850956,-0.6509096923572583,1.9344773478259314,41011.4,0.042636,317.1802,1.289062
8,5,1,2016,0,-1.3632884310506357,1.1739671268979892,2,0.15874651105099777,1.0772753669356214,0.8472690426678381,40000.0,0.00919,157.8532,1.30393
26,8,1,2010,0,0.5760259345581928,-0.40260904401520126,4,-0.26417327301433896,0.7583757870983374,-0.6929427229727938,40000.0,0.031529,173.5358,1.226269
